2025-08-12 22:37:44 status unpacked libexpat1-dev:amd64 2.7.1-2
2025-08-12 22:37:44 install libffi-dev:amd64 <none> 3.4.8-2
2025-08-12 22:37:44 status half-installed libffi-dev:amd64 3.4.8-2
2025-08-12 22:37:44 status unpacked libffi-dev:amd64 3.4.8-2
2025-08-12 22:37:44 install libpng16-16t64:amd64 <none> 1.6.48-1
2025-08-12 22:37:44 status half-installed libpng16-16t64:amd64 1.6.48-1
2025-08-12 22:37:44 status unpacked libpng16-16t64:amd64 1.6.48-1
2025-08-12 22:37:44 install libfreetype6:amd64 <none> 2.13.3+dfsg-1
2025-08-12 22:37:44 status half-installed libfreetype6:amd64 2.13.3+dfsg-1
2025-08-12 22:37:44 status unpacked libfreetype6:amd64 2.13.3+dfsg-1
2025-08-12 22:37:44 install libfontconfig1:amd64 <none> 2.15.0-2.3
2025-08-12 22:37:44 status half-installed libfontconfig1:amd64 2.15.0-2.3
2025-08-12 22:37:44 status unpacked libfontconfig1:amd64 2.15.0-2.3
2025-08-12 22:37:44 install zlib1g-dev:amd64 <none> 1:1.3.dfsg+really1.3.1-1+b1
2025-08-12 22:37:44 status half-installed zlib1g-dev:amd64 1:1.3.dfsg+really1.3.1-1+b1
2025-08-12 22:37:44 status unpacked zlib1g-dev:amd64 1:1.3.dfsg+really1.3.1-1+b1
2025-08-12 22:37:44 install libpng-dev:amd64 <none> 1.6.48-1
2025-08-12 22:37:44 status half-installed libpng-dev:amd64 1.6.48-1
2025-08-12 22:37:44 status unpacked libpng-dev:amd64 1.6.48-1
2025-08-12 22:37:44 install libfreetype-dev:amd64 <none> 2.13.3+dfsg-1
2025-08-12 22:37:44 status half-installed libfreetype-dev:amd64 2.13.3+dfsg-1
2025-08-12 22:37:44 status unpacked libfreetype-dev:amd64 2.13.3+dfsg-1
2025-08-12 22:37:44 install uuid-dev:amd64 <none> 2.41-5
2025-08-12 22:37:44 status half-installed uuid-dev:amd64 2.41-5
2025-08-12 22:37:44 status unpacked uuid-dev:amd64 2.41-5
2025-08-12 22:37:44 install libpkgconf3:amd64 <none> 1.8.1-4
2025-08-12 22:37:44 status half-installed libpkgconf3:amd64 1.8.1-4
2025-08-12 22:37:44 status unpacked libpkgconf3:amd64 1.8.1-4
2025-08-12 22:37:44 install pkgconf-bin:amd64 <none> 1.8.1-4
2025-08-12 22:37:44 status half-installed pkgconf-bin:amd64 1.8.1-4
2025-08-12 22:37:44 status unpacked pkgconf-bin:amd64 1.8.1-4
2025-08-12 22:37:44 install pkgconf:amd64 <none> 1.8.1-4
2025-08-12 22:37:44 status half-installed pkgconf:amd64 1.8.1-4
2025-08-12 22:37:44 status unpacked pkgconf:amd64 1.8.1-4
2025-08-12 22:37:44 install libfontconfig-dev:amd64 <none> 2.15.0-2.3
2025-08-12 22:37:44 status half-installed libfontconfig-dev:amd64 2.15.0-2.3
2025-08-12 22:37:44 status unpacked libfontconfig-dev:amd64 2.15.0-2.3
2025-08-12 22:37:44 install libfontconfig1-dev:amd64 <none> 2.15.0-2.3
2025-08-12 22:37:44 status half-installed libfontconfig1-dev:amd64 2.15.0-2.3
2025-08-12 22:37:44 status unpacked libfontconfig1-dev:amd64 2.15.0-2.3
2025-08-12 22:37:44 install libgdbm-dev:amd64 <none> 1.24-2
2025-08-12 22:37:44 status half-installed libgdbm-dev:amd64 1.24-2
2025-08-12 22:37:44 status unpacked libgdbm-dev:amd64 1.24-2
2025-08-12 22:37:44 install liblzma-dev:amd64 <none> 5.8.1-1
2025-08-12 22:37:44 status half-installed liblzma-dev:amd64 5.8.1-1
2025-08-12 22:37:44 status unpacked liblzma-dev:amd64 5.8.1-1
2025-08-12 22:37:44 install libncurses6:amd64 <none> 6.5+20250216-2
2025-08-12 22:37:44 status half-installed libncurses6:amd64 6.5+20250216-2
2025-08-12 22:37:44 status unpacked libncurses6:amd64 6.5+20250216-2
2025-08-12 22:37:44 install libncurses-dev:amd64 <none> 6.5+20250216-2
2025-08-12 22:37:44 status half-installed libncurses-dev:amd64 6.5+20250216-2
2025-08-12 22:37:44 status unpacked libncurses-dev:amd64 6.5+20250216-2
2025-08-12 22:37:44 install libreadline-dev:amd64 <none> 8.2-6
2025-08-12 22:37:44 status half-installed libreadline-dev:amd64 8.2-6
2025-08-12 22:37:44 status unpacked libreadline-dev:amd64 8.2-6
2025-08-12 22:37:44 install libsqlite3-dev:amd64 <none> 3.46.1-7
2025-08-12 22:37:44 status half-installed libsqlite3-dev:amd64 3.46.1-7
2025-08-12 22:37:44 status unpacked libsqlite3-dev:amd64 3.46.1-7
2025-08-12 22:37:44 install libssl-dev:amd64 <none> 3.5.1-1
2025-08-12 22:37:44 status half-installed libssl-dev:amd64 3.5.1-1
2025-08-12 22:37:44 status unpacked libssl-dev:amd64 3.5.1-1
